time_s,surface_radius_m
0,0.02
60,0.019957666666666669
120,0.019915333333333333
180,0.019873000000000002
240,0.019830666666666667
300,0.019788333333333335
360,0.019746
420,0.019703666666666668
480,0.019661333333333333
540,0.019619000000000001
600,0.019576666666666666
660,0.019534333333333334
720,0.019491999999999999
780,0.019449666666666667
840,0.019407333333333332
900,0.019365
960,0.019322666666666669
1020,0.019280333333333333
1080,0.019238000000000002
1140,0.019195666666666666
1200,0.019153333333333335
1260,0.019111
1320,0.019068666666666668
1380,0.019026333333333333
1440,0.018984000000000001
1500,0.018941666666666666
1560,0.018899333333333334
1620,0.018856999999999999
1680,0.018814666666666667
1740,0.018772333333333335
1800,0.01873
1860,0.018703666666666667
1920,0.018677333333333334
1980,0.018651000000000001
2040,0.018624666666666668
2100,0.018598333333333335
2160,0.018572000000000002
2220,0.018545666666666669
2280,0.018519333333333332
2340,0.018492999999999999
2400,0.018466666666666666
2460,0.018440333333333333
2520,0.018414
2580,0.018387666666666667
2640,0.018361333333333334
2700,0.018335000000000001
2760,0.018308666666666668
2820,0.018282333333333334
2880,0.018256000000000001
2940,0.018229666666666668
3000,0.018203333333333335
3060,0.018177000000000002
3120,0.018150666666666669
3180,0.018124333333333333
3240,0.018098
3300,0.018071666666666666
3360,0.018045333333333333
3420,0.018019
3480,0.017992666666666667
3540,0.017966333333333334
3600,0.017940000000000001
3660,0.017909666666666667
3720,0.017879333333333334
3780,0.017849
3840,0.017818666666666667
3900,0.017788333333333333
3960,0.017757999999999999
4020,0.017727666666666666
4080,0.017697333333333336
4140,0.017667000000000002
4200,0.017636666666666669
4260,0.017606333333333335
4320,0.017576000000000001
4380,0.017545666666666668
4440,0.017515333333333334
4500,0.017485000000000001
4560,0.017454666666666667
4620,0.017424333333333333
4680,0.017394
4740,0.017363666666666666
4800,0.017333333333333333
4860,0.017302999999999999
4920,0.017272666666666665
4980,0.017242333333333332
5040,0.017212000000000002
5100,0.017181666666666668
5160,0.017151333333333334
5220,0.017121000000000001
5280,0.017090666666666667
5340,0.017060333333333334
5400,0.01703
5460,0.017003999999999998
5520,0.016978
5580,0.016952000000000002
5640,0.016926
5700,0.016899999999999998
5760,0.016874
5820,0.016848000000000002
5880,0.016822
5940,0.016795999999999998
6000,0.01677
6060,0.016744000000000002
6120,0.016718
6180,0.016691999999999999
6240,0.016666
6300,0.016640000000000002
6360,0.016614
6420,0.016587999999999999
6480,0.016562
6540,0.016536000000000002
6600,0.01651
6660,0.016483999999999999
6720,0.016458
6780,0.016432000000000002
6840,0.016406
6900,0.016379999999999999
6960,0.016354
7020,0.016328000000000002
7080,0.016302000000000001
7140,0.016275999999999999
7200,0.016250000000000001
7260,0.016237999999999999
7320,0.016226000000000001
7380,0.016213999999999999
7440,0.016202000000000001
7500,0.01619
7560,0.016178000000000001
7620,0.016166
7680,0.016154000000000002
7740,0.016142
7800,0.016130000000000002
7860,0.016118
7920,0.016106000000000002
7980,0.016094000000000001
8040,0.016082000000000003
8100,0.016070000000000001
8160,0.016057999999999999
8220,0.016046000000000001
8280,0.016034
8340,0.016022000000000002
8400,0.01601
8460,0.015998000000000002
8520,0.015986
8580,0.015974000000000002
8640,0.015962
8700,0.015950000000000002
8760,0.015938000000000001
8820,0.015926000000000003
8880,0.015914000000000001
8940,0.015902000000000003
9000,0.015890000000000001
9060,0.015877666666666668
9120,0.015865333333333335
9180,0.015853000000000003
9240,0.01584066666666667
9300,0.015828333333333333
9360,0.015816
9420,0.015803666666666667
9480,0.015791333333333334
9540,0.015779000000000001
9600,0.015766666666666668
9660,0.015754333333333335
9720,0.015742000000000003
9780,0.015729666666666666
9840,0.015717333333333333
9900,0.015705
9960,0.015692666666666667
10020,0.015680333333333334
10080,0.015668000000000001
10140,0.015655666666666668
10200,0.015643333333333335
10260,0.015631000000000003
10320,0.015618666666666668
10380,0.015606333333333335
10440,0.015594
10500,0.015581666666666667
10560,0.015569333333333334
10620,0.015557000000000001
10680,0.015544666666666667
10740,0.015532333333333334
10800,0.015520000000000001
10860,0.015506000000000001
10920,0.015492000000000001
10980,0.015478
11040,0.015464
11100,0.01545
11160,0.015436
11220,0.015422
11280,0.015408000000000002
11340,0.015394000000000001
11400,0.015380000000000001
11460,0.015366000000000001
11520,0.015352000000000001
11580,0.015338000000000001
11640,0.015324000000000001
11700,0.015310000000000001
11760,0.015296000000000001
11820,0.015282
11880,0.015268
11940,0.015254
12000,0.01524
12060,0.015226
12120,0.015212
12180,0.015198000000000001
12240,0.015184000000000001
12300,0.015170000000000001
12360,0.015156000000000001
12420,0.015142000000000001
12480,0.015128000000000001
12540,0.015114000000000001
12600,0.015100000000000001
12660,0.015089
12720,0.015078000000000001
12780,0.015067000000000001
12840,0.015056
12900,0.015045000000000001
12960,0.015034
13020,0.015023000000000002
13080,0.015012000000000001
13140,0.015001
13200,0.014990000000000002
13260,0.014979000000000001
13320,0.014968
13380,0.014957000000000002
13440,0.014946000000000001
13500,0.014935
13560,0.014924000000000002
13620,0.014913000000000001
13680,0.014902000000000002
13740,0.014891000000000001
13800,0.014880000000000001
13860,0.014869000000000002
13920,0.014858000000000001
13980,0.014847000000000001
14040,0.014836000000000002
14100,0.014825000000000001
14160,0.014814000000000003
14220,0.014803000000000002
14280,0.014792000000000001
14340,0.014781000000000002
14400,0.014770000000000002
14460,0.014760000000000002
14520,0.014750000000000001
14580,0.014740000000000001
14640,0.014730000000000002
14700,0.014720000000000002
14760,0.014710000000000001
14820,0.014700000000000001
14880,0.014690000000000002
14940,0.014680000000000002
15000,0.014670000000000001
15060,0.014660000000000001
15120,0.014650000000000002
15180,0.014640000000000002
15240,0.014630000000000001
15300,0.014620000000000001
15360,0.014610000000000001
15420,0.0146
15480,0.014590000000000001
15540,0.014580000000000001
15600,0.014570000000000001
15660,0.01456
15720,0.01455
15780,0.014540000000000001
15840,0.014530000000000001
15900,0.01452
15960,0.01451
16020,0.014500000000000001
16080,0.014490000000000001
16140,0.01448
16200,0.01447
16260,0.014462333333333334
16320,0.014454666666666666
16380,0.014447
16440,0.014439333333333334
16500,0.014431666666666667
16560,0.014423999999999999
16620,0.014416333333333333
16680,0.014408666666666667
16740,0.014401000000000001
16800,0.014393333333333333
16860,0.014385666666666666
16920,0.014378
16980,0.014370333333333334
17040,0.014362666666666666
