time_s,Cmax,argmax_radius_m,center_C,mean_C,surface_C,Cmin,Tmin_C,Tmax_C,radial_increase
0,2.5499999999999998,0,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,28,28,0
2.0000000000000004e-07,2.5499999999999998,0,2.5499999999999998,2.549999999959514,2.5499983547765526,2.5499983547765526,28,28.000000000000007,0
4.0000000000000009e-07,2.5499999999999998,0,2.5499999999999998,2.5499999999190281,2.5499967245079351,2.5499967245079351,28,28.000000000000021,0
8.4806808467337439e-07,2.5499999999999998,0,2.5499999999999998,2.5499999998283265,2.5499931202270147,2.5499931202270147,28,28.000000000000078,0
1.2961361693467486e-06,2.5499999999999998,0,2.5499999999999998,2.5499999997376244,2.5499895866885107,2.5499895866885107,28,28.000000000000156,0
1.7442042540201227e-06,2.5499999999999998,0,2.5499999999999998,2.5499999996469227,2.5499861241169492,2.5499861241169492,28,28.000000000000252,0
3.0242843962630153e-06,2.5499999999999998,0,2.5499999999999998,2.549999999387798,2.5499766023472397,2.5499766023472397,28,28.000000000000618,0
3.9526775593929164e-06,2.5499999999999998,0,2.5499999999999998,2.5499999991998661,2.5499700274340031,2.5499700274340031,28,28.000000000000945,0
4.8810707225228176e-06,2.5499999999999998,0,2.5499999999999998,2.5499999990119342,2.5499637100384902,2.5499637100384902,28,28.000000000001322,0
5.8094638856527187e-06,2.5499999999999998,0,2.5499999999999998,2.5499999988240032,2.5499576340212982,2.5499576340212982,28,28.00000000000173,0
7.5009963350678988e-06,2.5499999999999998,0,2.5499999999999998,2.5499999984815931,2.5499471391132871,2.5499471391132871,28,28.000000000002572,0
9.192528784483078e-06,2.5499999999999998,0,2.5499999999999998,2.5499999981391852,2.5499373172660524,2.5499373172660524,28,28.000000000003514,0
1.0884061233898258e-05,2.5499999999999998,0,2.5499999999999998,2.5499999977967778,2.5499280957808983,2.5499280957808983,28,28.000000000004551,0
1.2575593683313438e-05,2.5499999999999998,0,2.5499999999999998,2.5499999974543717,2.5499194118285358,2.5499194118285358,28,28.000000000005674,0
1.6417482380085988e-05,2.5499999999999998,0,2.5499999999999998,2.5499999966766871,2.549901401920935,2.549901401920935,28,28.000000000008516,0
