time_s,radius_cm,temperature_C,moisture
0,0.0,28.0,2.55
0,0.1,28.0,2.55
0,0.2,28.0,2.55
0,0.3,28.0,2.55
0,0.4,28.0,2.55
0,0.5,28.0,2.55
0,0.6,28.0,2.55
0,0.7,28.0,2.55
0,0.8,28.0,2.55
0,0.9,28.0,2.55
0,1.0,28.0,2.55
0,1.1,28.0,2.55
0,1.2,28.0,2.55
0,1.3,28.0,2.55
0,1.4,28.0,2.55
0,1.5,28.0,2.55
0,1.6,28.0,2.55
0,1.7,28.0,2.55
0,1.8,28.0,2.55
0,1.9,28.0,2.55
0,2.0,28.0,2.55
1800,0.0,32.189244636631656,2.549934100175143
1800,0.1,32.196944341443306,2.5499177730895335
1800,0.2,32.2200508512977,2.549859200166509
1800,0.3,32.25858654960658,2.5497252450612544
1800,0.4,32.3125894271838,2.549445138792838
1800,0.5,32.382114204651494,2.5488838511683087
1800,0.6,32.46723408006697,2.547799002870316
1800,0.7,32.56804324028615,2.545777772856788
1800,0.8,32.68466024388836,2.5421530848032194
1800,0.9,32.81723227914566,2.5359044406521827
1800,1.0,32.96594010470428,2.5255580395169397
1800,1.1,33.131003212237445,2.5091115934746577
1800,1.2,33.31268450032791,2.484017935968311
1800,1.3,33.51129370075335,2.4472632843026174
1800,1.4,33.72718920058975,2.3955665577905165
1800,1.5,33.96077897478165,2.325703963430284
1800,1.6,34.21252313624563,2.234931231659141
1800,1.7,34.48294290540636,2.1214428290474237
1800,1.8,34.77264309844408,1.9847877177231295
1800,1.9,35.08235674338648,1.826173442353343
1800,2.0,35.41302009348023,1.6486177694800337
14400,0.0,49.999391426253474,1.4536060034133214
14400,0.1,49.99941855448303,1.4519904074806091
14400,0.2,49.999493781500355,1.4471456629524144
14400,0.3,49.99959865932856,1.439077825469887
14400,0.4,49.999702583635965,1.4277967378652896
14400,0.5,49.999763215275365,1.413315645579702
14400,0.6,49.999727493596595,1.395650637447751
14400,0.7,49.9995336775605,1.3748198878713647
14400,0.8,49.99911498329422,1.3508426649816858
14400,0.9,49.998405503736,1.323738054596668
14400,1.0,49.99734916580551,1.2935233308287577
14400,1.1,49.99591245513662,1.2602118791046764
14400,1.2,49.994101459944396,1.223810539746376
14400,1.3,49.99198340355716,1.1843161725596385
14400,1.4,49.98971223369381,1.1417111038794137
14400,1.5,49.987557064641194,1.0959568131999382
14400,1.6,49.985931459513154,1.0469845280872996
14400,1.7,49.98542090740659,0.9946799733952288
14400,1.8,49.986805656392654,0.9388577721410641
14400,1.9,49.991076572510515,0.8792238776997914
14400,2.0,49.999443126439644,0.8153461709156493
86400,0.0,49.99893442622951,0.23779953370287651
86400,0.1,49.99893442622951,0.23759938008903947
86400,0.2,49.9989344262295,0.23699783564158386
86400,0.3,49.99893442622951,0.23599159728856137
86400,0.4,49.99893442622952,0.2345749806136682
86400,0.5,49.99893442622951,0.23273963210268395
86400,0.6,49.99893442622951,0.2304740851658447
86400,0.7,49.998934426229525,0.2277631095985364
86400,0.8,49.99893442622952,0.22458677347309094
86400,0.9,49.99893442622951,0.2209190865668119
86400,1.0,49.99893442622951,0.2167260091370679
86400,1.1,49.9989344262295,0.21196245667007738
86400,1.2,49.99893442622952,0.20656764092107013
86400,1.3,49.9989344262295,0.20045750191935463
86400,1.4,49.99893442622951,0.19351171150354593
86400,1.5,49.9989344262295,0.18554968228031055
86400,1.6,49.9989344262295,0.17628177720684574
86400,1.7,49.9989344262295,0.16519553929882327
86400,1.8,49.99893442622951,0.15122809807888107
86400,1.9,49.9989344262295,0.13137663750954617
86400,2.0,49.99893442622951,0.06646160149624886
259200,0.0,49.99893442622951,0.13767783662707483
259200,0.1,49.99893442622951,0.1375995141032311
259200,0.2,49.99893442622951,0.13736390512815477
259200,0.3,49.99893442622951,0.1369690570559297
259200,0.4,49.998934426229496,0.13641161787437592
259200,0.5,49.99893442622951,0.13568667943657067
259200,0.6,49.9989344262295,0.13478753530607998
259200,0.7,49.99893442622951,0.1337053254078791
259200,0.8,49.99893442622952,0.13242852265123806
259200,0.9,49.99893442622951,0.13094218891714796
259200,1.0,49.99893442622952,0.12922688017283698
259200,1.1,49.99893442622951,0.12725699465337725
259200,1.2,49.99893442622951,0.12499819481437205
259200,1.3,49.99893442622951,0.1224032031319313
259200,1.4,49.9989344262295,0.11940454923410543
259200,1.5,49.99893442622951,0.11590110887212958
259200,1.6,49.99893442622952,0.11173054903093428
259200,1.7,49.99893442622951,0.10660454826859178
259200,1.8,49.99893442622951,0.09992023710444072
259200,1.9,49.99893442622951,0.08994714381055847
259200,2.0,49.99893442622952,0.05175987188800555
