variable,time_h,value,segment
environment_temperature_C,0,28,observed
environment_moisture,0,0.019630000000000002,observed
environment_temperature_C,0.016666666666666666,28.527999999999999,observed
environment_moisture,0.016666666666666666,0.02002,observed
environment_temperature_C,0.033333333333333333,29.192,observed
environment_moisture,0.033333333333333333,0.02053,observed
environment_temperature_C,0.050000000000000003,29.684000000000001,observed
environment_moisture,0.050000000000000003,0.021000000000000001,observed
environment_temperature_C,0.066666666666666666,30.036999999999999,observed
environment_moisture,0.066666666666666666,0.021510000000000001,observed
environment_temperature_C,0.083333333333333329,30.834,observed
environment_moisture,0.083333333333333329,0.021909999999999999,observed
environment_temperature_C,0.10000000000000001,31.292999999999999,observed
environment_moisture,0.10000000000000001,0.022329999999999999,observed
environment_temperature_C,0.11666666666666667,31.82,observed
environment_moisture,0.11666666666666667,0.022780000000000002,observed
environment_temperature_C,0.13333333333333333,32.121000000000002,observed
environment_moisture,0.13333333333333333,0.02325,observed
environment_temperature_C,0.14999999999999999,32.729999999999997,observed
environment_moisture,0.14999999999999999,0.023769999999999999,observed
environment_temperature_C,0.16666666666666666,33.201999999999998,observed
environment_moisture,0.16666666666666666,0.024279999999999999,observed
environment_temperature_C,0.18333333333333332,33.878999999999998,observed
environment_moisture,0.18333333333333332,0.024649999999999998,observed
environment_temperature_C,0.20000000000000001,34.268000000000001,observed
environment_moisture,0.20000000000000001,0.025059999999999999,observed
environment_temperature_C,0.21666666666666667,34.805999999999997,observed
environment_moisture,0.21666666666666667,0.025520000000000001,observed
environment_temperature_C,0.23333333333333334,35.142000000000003,observed
environment_moisture,0.23333333333333334,0.026120000000000001,observed
environment_temperature_C,0.25,35.524000000000001,observed
environment_moisture,0.25,0.026599999999999999,observed
environment_temperature_C,0.26666666666666666,36.091000000000001,observed
environment_moisture,0.26666666666666666,0.026870000000000002,observed
environment_temperature_C,0.28333333333333333,36.353999999999999,observed
environment_moisture,0.28333333333333333,0.027320000000000001,observed
environment_temperature_C,0.29999999999999999,37.067,observed
environment_moisture,0.29999999999999999,0.02793,observed
environment_temperature_C,0.31666666666666665,37.418999999999997,observed
environment_moisture,0.31666666666666665,0.02826,observed
environment_temperature_C,0.33333333333333331,37.881999999999998,observed
environment_moisture,0.33333333333333331,0.028910000000000002,observed
