question,time_h,surface_radius_cm
Q3,0,2
Q3,0.083333333333333329,2
Q3,0.16666666666666666,2
Q3,0.25,2
Q3,0.33333333333333331,2
Q3,0.41666666666666669,2
Q3,0.5,2
Q3,0.58333333333333337,2
Q3,0.66666666666666663,2
Q3,0.75,2
Q3,0.83333333333333337,2
Q3,0.91666666666666663,2
Q3,1,2
Q3,1.0833333333333333,2
Q3,1.1666666666666667,2
Q3,1.25,2
Q3,1.3333333333333333,2
Q3,1.4166666666666667,2
Q3,1.5,2
Q3,1.5833333333333333,2
Q3,1.6666666666666667,2
Q3,1.75,2
Q3,1.8333333333333333,2
Q3,1.9166666666666667,2
Q3,2,2
Q3,2.0833333333333335,2
Q3,2.1666666666666665,2
Q3,2.25,2
Q3,2.3333333333333335,2
Q3,2.4166666666666665,2
Q3,2.5,2
Q3,2.5833333333333335,2
Q3,2.6666666666666665,2
Q3,2.75,2
Q3,2.8333333333333335,2
Q3,2.9166666666666665,2
Q3,3,2
Q3,3.0833333333333335,2
Q3,3.1666666666666665,2
Q3,3.25,2
Q3,3.3333333333333335,2
Q3,3.4166666666666665,2
Q3,3.5,2
Q3,3.5833333333333335,2
Q3,3.6666666666666665,2
Q3,3.75,2
Q3,3.8333333333333335,2
Q3,3.9166666666666665,2
Q3,4,2
Q3,4.083333333333333,2
Q3,4.166666666666667,2
Q3,4.25,2
Q3,4.333333333333333,2
Q3,4.416666666666667,2
Q3,4.5,2
Q3,4.583333333333333,2
Q3,4.666666666666667,2
Q3,4.75,2
Q3,4.833333333333333,2
Q3,4.916666666666667,2
Q3,5,2
Q3,5.083333333333333,2
Q3,5.166666666666667,2
Q3,5.25,2
Q3,5.333333333333333,2
Q3,5.416666666666667,2
Q3,5.5,2
Q3,5.583333333333333,2
Q3,5.666666666666667,2
Q3,5.75,2
Q3,5.833333333333333,2
Q3,5.916666666666667,2
Q3,6,2
Q3,6.083333333333333,2
Q3,6.166666666666667,2
Q3,6.25,2
Q3,6.333333333333333,2
Q3,6.416666666666667,2
Q3,6.5,2
Q3,6.583333333333333,2
Q3,6.666666666666667,2
Q3,6.75,2
Q3,6.833333333333333,2
Q3,6.916666666666667,2
Q3,7,2
Q3,7.083333333333333,2
Q3,7.166666666666667,2
Q3,7.25,2
Q3,7.333333333333333,2
Q3,7.416666666666667,2
Q3,7.5,2
Q3,7.583333333333333,2
Q3,7.666666666666667,2
Q3,7.75,2
Q3,7.833333333333333,2
Q3,7.916666666666667,2
Q3,8,2
Q3,8.0833333333333339,2
Q3,8.1666666666666661,2
Q3,8.25,2
Q3,8.3333333333333339,2
Q3,8.4166666666666661,2
Q3,8.5,2
Q3,8.5833333333333339,2
Q3,8.6666666666666661,2
Q3,8.75,2
Q3,8.8333333333333339,2
Q3,8.9166666666666661,2
Q3,9,2
Q3,9.0833333333333339,2
Q3,9.1666666666666661,2
Q3,9.25,2
Q3,9.3333333333333339,2
Q3,9.4166666666666661,2
Q3,9.5,2
Q3,9.5833333333333339,2
Q3,9.6666666666666661,2
Q3,9.75,2
Q3,9.8333333333333339,2
Q3,9.9166666666666661,2
Q3,10,2
Q3,10.083333333333334,2
Q3,10.166666666666666,2
Q3,10.25,2
Q3,10.333333333333334,2
Q3,10.416666666666666,2
Q3,10.5,2
Q3,10.583333333333334,2
Q3,10.666666666666666,2
Q3,10.75,2
Q3,10.833333333333334,2
Q3,10.916666666666666,2
Q3,11,2
Q3,11.083333333333334,2
Q3,11.166666666666666,2
Q3,11.25,2
Q3,11.333333333333334,2
Q3,11.416666666666666,2
Q3,11.5,2
Q3,11.583333333333334,2
Q3,11.666666666666666,2
Q3,11.75,2
Q3,11.833333333333334,2
Q3,11.916666666666666,2
Q3,12,2
Q3,12.083333333333334,2
Q3,12.166666666666666,2
Q3,12.25,2
Q3,12.333333333333334,2
Q3,12.416666666666666,2
Q3,12.5,2
Q3,12.583333333333334,2
Q3,12.666666666666666,2
Q3,12.75,2
Q3,12.833333333333334,2
Q3,12.916666666666666,2
Q3,13,2
Q3,13.083333333333334,2
Q3,13.166666666666666,2
Q3,13.25,2
Q3,13.333333333333334,2
Q3,13.416666666666666,2
Q3,13.5,2
Q3,13.583333333333334,2
Q3,13.666666666666666,2
Q3,13.75,2
Q3,13.833333333333334,2
Q3,13.916666666666666,2
Q3,14,2
Q3,14.083333333333334,2
Q3,14.166666666666666,2
Q3,14.25,2
Q3,14.333333333333334,2
Q3,14.416666666666666,2
Q3,14.5,2
Q3,14.583333333333334,2
Q3,14.666666666666666,2
Q3,14.75,2
Q3,14.833333333333334,2
Q3,14.916666666666666,2
Q3,15,2
Q3,15.083333333333334,2
Q3,15.166666666666666,2
Q3,15.25,2
Q3,15.333333333333334,2
Q3,15.416666666666666,2
Q3,15.5,2
Q3,15.583333333333334,2
Q3,15.666666666666666,2
Q3,15.75,2
Q3,15.833333333333334,2
Q3,15.916666666666666,2
Q3,16,2
Q3,16.083333333333332,2
Q3,16.166666666666668,2
Q3,16.25,2
Q3,16.333333333333332,2
Q3,16.416666666666668,2
Q3,16.5,2
Q3,16.583333333333332,2
Q3,16.666666666666668,2
Q3,16.75,2
Q3,16.833333333333332,2
Q3,16.916666666666668,2
Q3,17,2
Q3,17.083333333333332,2
Q3,17.166666666666668,2
Q3,17.25,2
Q3,17.333333333333332,2
Q3,17.416666666666668,2
Q3,17.5,2
Q3,17.583333333333332,2
Q3,17.666666666666668,2
Q3,17.75,2
Q3,17.833333333333332,2
Q3,17.916666666666668,2
Q3,18,2
Q3,18.083333333333332,2
Q3,18.166666666666668,2
Q3,18.25,2
Q3,18.333333333333332,2
Q3,18.416666666666668,2
Q3,18.5,2
Q3,18.583333333333332,2
Q3,18.666666666666668,2
Q3,18.75,2
Q3,18.833333333333332,2
Q3,18.916666666666668,2
Q3,19,2
Q3,19.083333333333332,2
Q3,19.166666666666668,2
Q3,19.25,2
Q3,19.333333333333332,2
Q3,19.416666666666668,2
Q3,19.5,2
Q3,19.583333333333332,2
Q3,19.666666666666668,2
Q3,19.75,2
Q3,19.833333333333332,2
Q3,19.916666666666668,2
Q3,20,2
Q3,20.083333333333332,2
Q3,20.166666666666668,2
Q3,20.25,2
Q3,20.333333333333332,2
Q3,20.416666666666668,2
Q3,20.5,2
Q3,20.583333333333332,2
Q3,20.666666666666668,2
Q3,20.75,2
Q3,20.833333333333332,2
Q3,20.916666666666668,2
Q3,21,2
Q3,21.083333333333332,2
Q3,21.166666666666668,2
Q3,21.25,2
Q3,21.333333333333332,2
Q3,21.416666666666668,2
Q3,21.5,2
Q3,21.583333333333332,2
Q3,21.666666666666668,2
Q3,21.75,2
Q3,21.833333333333332,2
Q3,21.916666666666668,2
Q3,22,2
Q3,22.083333333333332,2
Q3,22.166666666666668,2
Q3,22.25,2
Q3,22.333333333333332,2
Q3,22.416666666666668,2
Q3,22.5,2
Q3,22.583333333333332,2
Q3,22.666666666666668,2
Q3,22.75,2
Q3,22.833333333333332,2
Q3,22.916666666666668,2
Q3,23,2
Q3,23.083333333333332,2
