question,time_h,radius_cm,C,surface_radius_cm,value_origin
Q3,0,0,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.02,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.040000000000000001,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.059999999999999998,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.080000000000000002,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.10000000000000001,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.12,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.14000000000000001,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.16,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.17999999999999999,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.20000000000000001,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.22,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.23999999999999999,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.26000000000000001,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.28000000000000003,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.29999999999999999,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.32000000000000001,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.34000000000000002,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.35999999999999999,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.38,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.40000000000000002,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.41999999999999998,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.44,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.46000000000000002,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.47999999999999998,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.5,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.52000000000000002,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.54000000000000004,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.56000000000000005,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.57999999999999996,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.59999999999999998,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.62,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.64000000000000001,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.66000000000000003,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.68000000000000005,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.70000000000000007,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.71999999999999997,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
Q3,0,0.73999999999999999,2.5499999999999998,2,linear_radial_interpolation_of_archived_outputs
